-960.93;493.67;-55.96;
355.64;-215.12;-471.96;
181.20;-1072.89;-64.96;
507.80;-1135.31;-95.96;
184.15;-1883.23;-319.96;
1110.07;-2124.75;-351.96;
-991.39;-1799.40;-319.96;
-1057.39;-2338.12;-159.96;
-856.04;-2505.87;-223.15;
-1177.96;-2921.69;-319.96;
-996.86;-1813.42;-191.96;
-1145.13;-1047.16;-319.96;
-2243.99;-1988.52;-319.96;
-2169.24;-1188.58;40.03;
-1088.65;-2793.47;-154.96;
-150.52;-1451.69;-287.96;
251.33;-2117.77;-495.96;
123.21;-1082.73;-895.96;
-449.30;-1009.25;-479.92;
-462.71;916.98;-15.96;
1184.92;916.26;380.03;
1518.99;2857.99;113.03;
525.92;2926.75;258.03;
1773.21;2195.53;-318.96;
