93.76;75.14;37.80;
414.16;74.91;37.74;
21.78;-1642.98;1.03;
945.75;-1635.14;1.03;
1377.51;-1579.57;96.03;
1633.27;-1691.32;240.03;
1886.87;-1824.91;384.03;
2332.70;-1314.45;1.03;
3926.65;-1473.76;1.03;
5615.47;-1470.53;512.03;
5911.94;-1769.45;512.03;
5909.80;-1174.71;512.03;
7644.64;-1246.57;588.03;
8094.63;-1695.44;588.03;
9502.50;-1717.10;589.03;
10907.33;-2547.55;-1471.96;
10787.10;-3034.95;-1471.96;
10954.61;-3991.30;-1487.00;
10944.57;-7830.90;-1086.96;
11000.88;-8055.62;-1086.96;
10943.32;-8391.14;-1086.96;
11071.02;-10621.35;-1375.96;
