648.58;-240.71;-90.96;
625.88;-317.96;-251.96;
-122.39;-1676.78;-253.96;
-91.01;-865.16;-90.87;
847.22;408.98;-106.98;
859.78;458.59;-253.96;
1120.18;465.12;-496.96;
1500.86;13.53;-499.96;
1427.18;263.61;-499.96;
1580.08;-91.88;-290.96;
2485.53;14.76;-51.96;
2425.72;319.49;-32.96;
2427.24;207.51;-47.96;
1617.28;318.43;-32.96;
1619.19;209.08;-47.96;
3447.74;55.31;-290.96;
4197.00;-995.32;-290.96;
4330.30;-1178.11;-290.96;
4147.58;-795.21;-290.96;
3296.47;-1425.92;-384.84;
3509.08;-1645.08;-450.96;
2635.65;-1606.96;-309.82;
2571.84;-1606.96;-311.65;
2500.25;-1606.96;-312.84;
2441.88;-1606.96;-315.79;
3124.60;-2210.33;-440.96;
3323.96;-2363.43;-440.96;
3555.94;-2651.11;-440.96;
3469.30;-3010.75;-280.96;
4536.11;-3114.80;-116.92;
2141.58;-3688.11;-290.96;
2133.99;-3600.53;-290.96;
2170.47;-3578.53;-290.96;
2257.07;-3549.85;-290.96;
2518.39;-4691.28;-290.96;
2426.47;-2197.74;-203.96;
2488.13;-2209.77;-203.96;
2546.20;-2209.84;-203.96;
2600.53;-2179.37;-203.96;
2665.45;-2184.02;-203.96;
2128.83;-2394.96;-290.96;
1474.50;-1941.17;-282.96;
1637.56;-2644.82;-177.96;
1454.50;-2654.64;-290.96;
1543.00;-874.83;-190.96;
697.15;-3089.07;-109.96;
550.88;-2218.52;-229.96;
624.05;-2220.31;-229.96;
696.73;-2218.34;-229.96;
764.70;-2222.45;-229.96;
835.54;-2231.24;-229.96;
-27.47;-542.43;-105.31;
